MCP1,IP10,MCP1_hi,IP10_hi,ISS,MIG,IL6_hi,IL6,nodeX,ISS_hi,simID,timepoint,injury
1,1,0,0,1,0,1,1,1,0,5,3,Moderate
1,1,0,1,1,0,1,1,1,0,5,4,Moderate
0,1,0,1,1,0,0,1,1,0,5,5,Moderate
0,1,0,1,1,0,0,0,1,0,5,6,Moderate
0,1,0,1,1,0,0,0,1,0,5,7,Moderate
0,1,0,1,1,0,0,0,1,0,5,8,Moderate
0,1,0,1,1,0,0,0,1,0,5,9,Moderate
0,1,0,1,1,0,0,0,1,0,5,10,Moderate
0,1,0,1,1,0,0,0,1,0,5,11,Moderate
0,1,0,1,1,0,0,0,1,0,5,12,Moderate
0,1,0,1,1,0,0,0,1,0,5,13,Moderate
0,1,0,1,1,0,0,0,1,0,5,14,Moderate
0,1,0,1,1,0,0,0,1,0,5,15,Moderate
0,1,0,1,1,0,0,0,1,0,5,16,Moderate
0,1,0,1,1,0,0,0,1,0,5,17,Moderate
0,1,0,1,1,0,0,0,1,0,5,18,Moderate
0,1,0,1,1,0,0,0,1,0,5,19,Moderate
0,1,0,1,1,0,0,0,1,0,5,20,Moderate
1,1,0,0,1,0,1,1,0,0,6,0,Moderate
1,0,0,1,1,0,1,1,1,0,6,1,Moderate
0,1,0,0,1,0,0,1,1,0,6,2,Moderate
0,1,0,1,1,0,0,0,1,0,6,3,Moderate
0,1,0,1,1,0,0,0,1,0,6,4,Moderate
0,1,0,1,1,0,0,0,1,0,6,5,Moderate
0,1,0,1,1,0,0,0,1,0,6,6,Moderate
0,1,0,1,1,0,0,0,1,0,6,7,Moderate
0,1,0,1,1,0,0,0,1,0,6,8,Moderate
0,1,0,1,1,0,0,0,1,0,6,9,Moderate
0,1,0,1,1,0,0,0,1,0,6,10,Moderate
0,1,0,1,1,0,0,0,1,0,6,11,Moderate
0,1,0,1,1,0,0,0,1,0,6,12,Moderate
0,1,0,1,1,0,0,0,1,0,6,13,Moderate
0,1,0,1,1,0,0,0,1,0,6,14,Moderate
0,1,0,1,1,0,0,0,1,0,6,15,Moderate
0,1,0,1,1,0,0,0,1,0,6,16,Moderate
0,1,0,1,1,0,0,0,1,0,6,17,Moderate
0,1,0,1,1,0,0,0,1,0,6,18,Moderate
0,1,0,1,1,0,0,0,1,0,6,19,Moderate
0,1,0,1,1,0,0,0,1,0,6,20,Moderate
1,1,1,1,1,0,0,1,0,0,7,0,Moderate
0,0,0,1,1,0,0,1,1,0,7,1,Moderate
0,1,0,1,1,0,0,0,1,0,7,2,Moderate
0,1,0,1,1,0,0,0,1,0,7,3,Moderate
0,1,0,1,1,0,0,0,1,0,7,4,Moderate
0,1,0,1,1,0,0,0,1,0,7,5,Moderate
0,1,0,1,1,0,0,0,1,0,7,6,Moderate
0,1,0,1,1,0,0,0,1,0,7,7,Moderate
0,1,0,1,1,0,0,0,1,0,7,8,Moderate
0,1,0,1,1,0,0,0,1,0,7,9,Moderate
0,1,0,1,1,0,0,0,1,0,7,10,Moderate
0,1,0,1,1,0,0,0,1,0,7,11,Moderate
0,1,0,1,1,0,0,0,1,0,7,12,Moderate
0,1,0,1,1,0,0,0,1,0,7,13,Moderate
0,1,0,1,1,0,0,0,1,0,7,14,Moderate
0,1,0,1,1,0,0,0,1,0,7,15,Moderate
0,1,0,1,1,0,0,0,1,0,7,16,Moderate
0,1,0,1,1,0,0,0,1,0,7,17,Moderate
0,1,0,1,1,0,0,0,1,0,7,18,Moderate
0,1,0,1,1,0,0,0,1,0,7,19,Moderate
0,1,0,1,1,0,0,0,1,0,7,20,Moderate
1,1,0,1,1,0,0,1,0,0,8,0,Moderate
0,0,0,1,1,0,0,1,1,0,8,1,Moderate
0,1,0,1,1,0,0,0,1,0,8,2,Moderate
0,1,0,1,1,0,0,0,1,0,8,3,Moderate
0,1,0,1,1,0,0,0,1,0,8,4,Moderate
0,1,0,1,1,0,0,0,1,0,8,5,Moderate
0,1,0,1,1,0,0,0,1,0,8,6,Moderate
0,1,0,1,1,0,0,0,1,0,8,7,Moderate
